127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002007
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000997
997
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001002
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001013
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002041
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003087
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003087
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002072
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002059
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002065
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002097
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002992
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002021
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002021
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001024
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001996
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001997
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002016
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.003031
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003163
